"1161030","090041190","01/04/2009","12/18/2007","18:00:00","01/04/2009","18:00:00","114",,,"810 BOLTON PL NW","0511","2202",,"2","Unk","Unk","20","BURGLARY-RESIDENCE","Carroll Heights","H","-84.502780000000001","33.777839999999998",1198018800
"1161483","090080701","01/08/2009","11/02/2007","13:00:00","01/07/2009","11:30:00","212",,,"1858 CHESHIRE BRIDGE RD NE","0670","2308",,"1","Unk","Unk",,"LARCENY-NON VEHICLE","Morningside/Lenox Park","F","-84.361900000000006","33.809809999999999",1194022800
"1165247","090430879","02/12/2009","06/11/2007","12:00:00","02/12/2009","11:00:00","107",,,"1875 NORTH AVE NW","0511","2202","50","1","Unk","Unk","20","BURGLARY-RESIDENCE","Grove Park","J","-84.448509999999999","33.768689999999999",1181577600
"1166884","090610896","03/02/2009","10/29/2007","12:00:00","06/03/2008","12:00:00","309",,,"2555 METROPOLITAN PKWY","0720","2424",,"1","Unk","Unk",,"AUTO THEFT","Perkerson","X","-84.40898","33.685169999999999",1193673600
"1175764","091470911","05/27/2009","05/27/2007","11:00:00","05/27/2009","11:30:00","602",,,"280 ELIZABETH ST NE","0640","2305","50","1","Unk","Unk","18","LARCENY-FROM VEHICLE","Inman Park","N","-84.358050000000006","33.762120000000003",1180278000
"1184114","092170995","08/05/2009","05/16/2007","02:10:00","08/05/2009","12:00:00","404",,,"1579 RALPH D. ABERNATHY","0720","2424",,,"Unk","Unk",,"AUTO THEFT","Westview","T","-84.439160000000001","33.745080000000002",1179295800
"1188960","092611605","09/18/2009","03/01/2007","12:00:00","10/01/2007","12:00:00","213",,,"1777 PIEDMONT AVE NE","0430","1315",,"1","Unk","Unk","26","AGG ASSAULT","Morningside/Lenox Park","F","-84.367099999999994","33.803660000000001",1172768400
"1193755","093081052","11/04/2009","05/01/2007","00:01:00","09/01/2007","23:59:00","403",,,"982 HARWELL ST NW","0210","1103",,"1","Unk","Unk","20","RAPE","Oakland City","S","-84.430000000000007","33.717559999999999",1177992060
"1197821","093431825","12/09/2009","02/15/2007","12:00:00","02/25/2007","12:00:00","408",,,"1194 CASCADE RD SW","0430","1315",,"1","Unk","Unk","20","AGG ASSAULT","Cascade Avenue/Road","S","-84.450460000000007","33.722949999999997",1171558800
"1204259","100501959","02/19/2010","07/01/2007","13:00:00","02/01/2010","10:00:00","209",,,"3818 N STRATFORD RD NE","0670","2308",,"1","Unk","Unk","20","LARCENY-NON VEHICLE","North Buckhead","B","-84.367450000000005","33.8611",1183309200
"1206912","100831462","03/24/2010","07/15/2007","12:00:00","03/24/2010","14:00:00","507",,,"300 PETERS ST","0512","2203",,"1","Unk","Unk","19","BURGLARY-NONRES","Castleberry Hill","M","-84.402190000000004","33.746510000000001",1184515200
"1213379","101480720","05/28/2010","03/07/2007","16:00:00","03/07/2007","16:00:00","505",,,"128 NORTH AVE NE","0690","2399",,"1","Eve","Wed","9","LARCENY-NON VEHICLE","Midtown","E","-84.383229999999998","33.771369999999997",1173301200
"1218982","102021275","07/21/2010","06/01/2007","12:00:00","07/21/2010","12:00:00","401",,"E-21","626 PEOPLES STREET","0710","2404",,"1","Unk","Unk","13","AUTO THEFT","West End","T","-84.420379999999994","33.737670000000001",1180713600
"1235575","103631296","12/29/2010","12/04/2007","08:00:00","11/17/2010","12:00:00","414",,,"3801 STEPHANIE DR SW","0650","2304",,"1","Unk","Unk","20","LARCENY-FROM VEHICLE","Deerwood","P","-84.512870000000007","33.674520000000001",1196773200
"1275824","120630640","03/03/2012","09/23/2007","09:00:00","03/03/2012","08:42:00","402",,,"1398 RICHLAND RD SW","0670","2308",,"1","Unk","Unk","20","LARCENY-NON VEHICLE","Oakland City","S","-84.433490000000006","33.730640000000001",1190552400
"1276651","120741268","03/14/2012","10/16/2007","00:50:00","03/14/2012","12:14:00","114",,,"848 BOLTON RD NW","0511","2202",,"1","Unk","Unk","20","BURGLARY-RESIDENCE","Carroll Heights","H","-84.500579999999999","33.778410000000001",1192510200
"1299702","123170998","11/12/2012","06/07/2007","08:00:00","11/10/2012","12:00:00","507",,"3-42","300 PETERS ST SW","0512","2203",,"1","Unk","Unk","19","BURGLARY-NONRES","Castleberry Hill","M","-84.402190000000004","33.746510000000001",1181217600
"1327143","132552427","09/12/2013","06/14/2007","12:00:00","08/16/2013","23:59:00","113",,,"1558 FERNO DR NW","0210","1103",,"1","Unk","Unk","20","RAPE","Lincoln Homes","G","-84.478099999999998","33.797190000000001",1181836800
"1386651","070490325073","10/28/2009","02/18/2007","03:05:00","02/18/2009","03:05:00","509",,,"44 PRYOR ST SE","0110","0911",,,"Unk","Unk",,"HOMICIDE","Downtown","M","-84.389309999999995","33.753320000000002",1171785900
"1386657","072220231067","10/14/2009","08/10/2007","02:41:00","08/10/2007","02:41:00","303",,,"1174 HUBBARD ST SW","0110","0911",,,"Morn","Fri",,"HOMICIDE","Pittsburgh","V","-84.402280000000005","33.722900000000003",1186728060
