"5106631","160442700","02/13/2016","01/07/1916","12:15:00","02/13/1916","20:40:00","412",,,"710 JEWEL CT SW","0511","2202",,"1","Unk","Unk","20","BURGLARY-RESIDENCE","Midwest Cascade","Q","-84.5505","33.725830000000002",-1703573100
"5109716","160902737","03/30/2016","03/29/1916","23:00:00","03/30/2016","18:30:00","507",,,"180 WALKER ST SW","0710","2404A",,"1","Unk","Unk",,"AUTO THEFT","Castleberry Hill","M","-84.401319999999998","33.749639999999999",-1696453200
"5110082","160951996","04/04/2016","04/02/1916","17:00:00","04/03/2016","11:00:00","211",,,"2175 PIEDMONT RD NE","0522","2205",,"1","Unk","Unk","19","BURGLARY-NONRES","Lindridge/Martin Manor","F","-84.366320000000002","33.817160000000001",-1696129200
"5114025","161460989","05/25/2016","05/15/1916","20:00:00","05/24/2016","14:00:00","206",,"A","102 W PACES FERRY RD NW","0670","2308",,"1","Unk","Unk","24","LARCENY-NON VEHICLE","Peachtree Heights West","B","-84.384270000000001","33.84131",-1692403200
"5114846","161562034","06/04/2016","06/01/1916","22:00:00","06/03/2016","10:00:00","211",,,"2399 PIEDMONT RD NE","0710","2404",,"1","Unk","Unk","18","AUTO THEFT","Lindbergh/Morosgo","B","-84.367440000000002","33.820390000000003",-1690927200
"5115064","161592043","06/07/2016","05/30/1916","14:00:00","06/01/2016","14:00:00","412",,,"4666 EDWINA LN SW","0670","2308",,"1","Unk","Unk","20","LARCENY-NON VEHICLE","Greenbriar Village","P","-84.540440000000004","33.703090000000003",-1691128800
"5120051","162191050","08/06/2016","07/28/1916","15:00:00","08/06/2016","10:30:00","606",,,"705 WOODWARD AVE SE","0521","2204",,"1","Unk","Unk","99","BURGLARY-RESIDENCE","Grant Park","W","-84.364310000000003","33.74512",-1686027600
"5122060","162421497","08/29/2016","08/26/1916","11:46:00","08/26/1916","13:30:00","507",,,"360 MARIETTA ST NW","0640","2305",,"1","Day","Sat","18","LARCENY-FROM VEHICLE","Downtown","M","-84.397019999999998","33.762689999999999",-1683533640
"5122138","162430968","08/30/2016","08/28/1916","14:00:00","08/30/2016","09:45:00","507",,,"470 WHITEHALL ST SW","0512","2203",,"1","Unk","Unk","4","BURGLARY-NONRES","Castleberry Hill","M","-84.402900000000002","33.743830000000003",-1683352800
"5123588","162591690","09/15/2016","09/10/1916","15:00:00","09/14/2016","15:00:00","612",,,"1138 BOULDERCREST DR SE","0511","2202",,"1","Unk","Unk","20","BURGLARY-RESIDENCE","East Atlanta","W","-84.331919999999997","33.723570000000002",-1682226000
